state_cd,2s,56,56,56,56,56,56,56
state_name,40s,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming
year,4s,1985,1990,1995,2000,2005,2010,2015
"Total Population total population of area, in thousands",16s,509.3,453.61,480.19,493.78,509.294,563.626,586.107
"Public Supply population served by groundwater, in thousands",16s,146.48,160.12,145.47,195.01,204.794,224.277,237.833
"Public Supply population served by surface water, in thousands",16s,182.94,179.52,198.87,211.29,220.091,222.021,229.208
"Public Supply total population served, in thousands",16s,329.42,339.64,344.34,406.3,424.885,446.298,467.041
"Public Supply self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,47.79,41.31,37.99,57.19,49.78,50.46,54.51
"Public Supply self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,0,0,0
"Public Supply total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,37.99,-,49.78,50.46,54.51
"Public Supply self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,50.37,47.03,51.75,49.35,46.49,47.04,46.84
"Public Supply self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,-,0,0,0
"Public Supply total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,51.75,-,46.49,47.04,46.84
"Public Supply total self-supplied withdrawals, fresh, in Mgal/d",16s,98.16,88.34,89.74,106.54,96.27,97.5,101.35
"Public Supply total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,0,0,0
"Public Supply total self-supplied withdrawals, total, in Mgal/d",16s,-,-,89.74,-,96.27,97.5,101.35
"Public Supply deliveries to domestic, in Mgal/d",16s,61.04,55.2,54.12,-,71.05,72.73,82.34
"Public Supply deliveries to commercial, in Mgal/d",16s,13.85,16.37,16.14,-,-,-,-
"Public Supply deliveries to industrial, in Mgal/d",16s,3.22,5.46,2.36,-,-,-,-
"Public Supply deliveries to thermoelectric, in Mgal/d",16s,1.94,0,0,-,-,-,-
"Public Supply total deliveries, in Mgal/d",16s,80.05,77.03,72.62,-,-,-,-
"Public Supply public use and losses, in Mgal/d",16s,-,-,17.12,-,-,-,-
"Public Supply per capita use, in gallons/person/day",16s,-,-,261,-,227,218,217
"Public Supply reclaimed wastewater, in Mgal/d",16s,-,-,0,-,-,-,-
Public Supply number of facilities,16s,-,92,90,-,-,-,336
"Domestic self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,12.11,8.15,9.72,6.57,6.32,8.79,8.93
"Domestic self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,9.72,-,-,-,-
"Domestic self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,1.34,0.4,0.48,0,0,0,0
"Domestic self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,0.48,-,-,-,-
"Domestic total self-supplied withdrawals, fresh, in Mgal/d",16s,13.45,8.55,10.2,6.57,6.32,8.79,8.93
"Domestic self-supplied population, in thousands",16s,179.88,113.97,135.85,87.48,84.409,117.328,119.066
"Domestic deliveries from public supply, in Mgal/d",16s,61.04,55.2,54.12,-,71.05,72.73,82.34
"Domestic total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic per capita use, public-supplied, in gallons/person/day",16s,185,163,157,-,167,163,176
"Domestic total self-supplied withdrawals, in Mgal/d",16s,-,-,10.2,-,-,-,-
"Domestic total self-supplied withdrawals plus deliveries, in Mgal/d",16s,74.49,63.75,64.32,-,77.37,81.52,91.27
"Domestic consumptive use, fresh, in Mgal/d",16s,29.84,25.4,32.58,-,-,-,-
"Domestic consumptive use, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Domestic total consumptive use, in Mgal/d",16s,-,-,32.58,-,-,-,-
"Domestic per capita use, self-supplied, in gallons/person/day",16s,75,75,75,75,75,75,75
"Commercial self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,9.88,0.91,0.93,-,-,-,-
"Commercial self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Commercial total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,0.93,-,-,-,-
"Commercial self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,7.06,0.7,0.65,-,-,-,-
"Commercial self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Commercial total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,0.65,-,-,-,-
"Commercial total self-supplied withdrawals, fresh, in Mgal/d",16s,16.94,1.61,1.58,-,-,-,-
"Commercial total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Commercial total self-supplied withdrawals, in Mgal/d",16s,-,-,1.58,-,-,-,-
"Commercial deliveries from public supply, in Mgal/d",16s,13.85,16.37,16.14,-,-,-,-
"Commercial total self-supplied withdrawals plus deliveries, in Mgal/d",16s,-,-,17.72,-,-,-,-
"Commercial consumptive use, fresh, in Mgal/d",16s,3.39,2.72,2.69,-,-,-,-
"Commercial consumptive use, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Commercial total consumptive use, in Mgal/d",16s,-,-,2.69,-,-,-,-
"Commercial reclaimed wastewater, in Mgal/d",16s,-,-,0,-,-,-,-
"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,7.81,6,1.59,4.31,4.12,4.92,5.83
"Industrial self-supplied groundwater withdrawals, saline, in Mgal/d",16s,0,0,0,0,0,0,0
"Industrial total self-supplied withdrawals, groundwater, in Mgal/d",16s,7.81,6,1.59,4.31,4.12,4.92,5.83
"Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,3.62,9.89,1.18,1.47,1.92,1.82,2.21
"Industrial self-supplied surface-water withdrawals, saline, in Mgal/d",16s,0,0,0,0,0,0,0
"Industrial total self-supplied withdrawals, surface water, in Mgal/d",16s,3.62,9.89,1.18,1.47,1.92,1.82,2.21
"Industrial total self-supplied withdrawals, fresh, in Mgal/d",16s,11.43,15.89,2.77,5.78,6.04,6.74,8.04
"Industrial total self-supplied withdrawals, saline, in Mgal/d",16s,0,0,0,0,0,0,0
"Industrial total self-supplied withdrawals, in Mgal/d",16s,11.43,15.89,2.77,5.78,6.04,6.74,8.04
"Industrial deliveries from public supply, in Mgal/d",16s,3.22,5.46,2.36,-,-,-,-
"Industrial total self-supplied withdrawals plus deliveries, in Mgal/d",16s,14.65,21.35,5.13,-,-,-,-
"Industrial consumptive use, fresh, in Mgal/d",16s,1.95,3.19,0.8,-,-,-,-
"Industrial consumptive use, saline, in Mgal/d",16s,0,0,0,-,-,-,-
"Industrial total consumptive use, in Mgal/d",16s,1.95,3.19,0.8,-,-,-,-
"Industrial reclaimed wastewater, in Mgal/d",16s,0,0,0,-,-,-,-
Industrial number of facilities,16s,-,0,0,-,-,-,1818
"Total Thermoelectric Power self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,11.76,0.97,0.97,1.13,1.32,2.29,1.31
"Total Thermoelectric Power self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,0,0,0,0
"Total Thermoelectric Power total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,0.97,1.13,1.32,2.29,1.31
"Total Thermoelectric Power self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,-,-,219.27,242.15,221.46,61.06,50.5
"Total Thermoelectric Power self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,0,0,0,0
"Total Thermoelectric Power total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,219.27,242.15,221.46,61.06,50.5
"Total Thermoelectric Power total self-supplied withdrawals, fresh, in Mgal/d",16s,-,-,220.24,243.28,222.78,63.35,51.81
"Total Thermoelectric Power total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,0,0,0,0
"Total Thermoelectric Power total self-supplied withdrawals, total, in Mgal/d",16s,-,-,220.24,243.28,222.78,63.35,51.81
"Total Thermoelectric Power total self-supplied withdrawals plus deliveries, in Mgal/d",16s,-,-,220.24,-,-,-,-
"Total Thermoelectric Power consumptive use, fresh, in Mgal/d",16s,37.74,53.75,49.83,-,-,-,36.99
"Total Thermoelectric Power consumptive use, saline, in Mgal/d",16s,0,0,0,-,-,-,0
"Total Thermoelectric Power total consumptive use, in Mgal/d",16s,37.74,53.75,49.83,-,-,-,36.99
"Total Thermoelectric Power power generated, in gigawatt-hours",16s,34222.88,35837.27,38553.54,-,46347.67,39648.08,35600.95
"Total Thermoelectric Power reclaimed wastewater, in Mgal/d",16s,-,-,0,-,-,-,-
Total Thermoelectric Power number of facilities,16s,-,5,6,-,-,-,7
"Fossil-fuel Thermoelectric Power self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,11.76,0.97,0.97,-,-,-,-
"Fossil-fuel Thermoelectric Power self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Fossil-fuel Thermoelectric Power total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,0.97,-,-,-,-
"Fossil-fuel Thermoelectric Power self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,224.46,183.28,219.27,-,-,-,-
"Fossil-fuel Thermoelectric Power self-supplied surface-water withdrawals, saline, in Mgal/d",16s,0,0,0,-,-,-,-
"Fossil-fuel Thermoelectric Power total self-supplied withdrawals, surface water, in Mgal/d",16s,224.46,183.28,219.27,-,-,-,-
"Fossil-fuel Thermoelectric Power total self-supplied withdrawals, fresh, in Mgal/d",16s,236.22,184.25,220.24,-,-,-,-
"Fossil-fuel Thermoelectric Power total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Fossil-fuel Thermoelectric Power total self-supplied withdrawals, in Mgal/d",16s,-,-,220.24,-,-,-,-
"Fossil-fuel Thermoelectric Power deliveries from public supply, in Mgal/d",16s,1.94,0,0,-,-,-,-
"Fossil-fuel Thermoelectric Power total self-supplied withdrawals plus deliveries, in Mgal/d",16s,-,-,220.24,-,-,-,-
"Fossil-fuel Thermoelectric Power consumptive use, fresh, in Mgal/d",16s,37.74,53.75,49.83,-,-,-,-
"Fossil-fuel Thermoelectric Power consumptive use, saline, in Mgal/d",16s,0,0,0,-,-,-,-
"Fossil-fuel Thermoelectric Power total consumptive use, in Mgal/d",16s,37.74,53.75,49.83,-,-,-,-
"Fossil-fuel Thermoelectric Power power generation, in gigawatt-hours",16s,34222.88,35837.27,38553.54,-,-,-,-
"Fossil-fuel Thermoelectric Power reclaimed wastewater, in Mgal/d",16s,-,-,0,-,-,-,-
Fossil-fuel Thermoelectric Power number of facilities,16s,-,5,6,-,-,-,-
"Geothermal Thermoelectric Power self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,0,0,0,-,-,-,-
"Geothermal Thermoelectric Power self-supplied groundwater withdrawals, saline, in Mgal/d",16s,0,0,0,-,-,-,-
"Geothermal Thermoelectric Power total self-supplied withdrawals, groundwater, in Mgal/d",16s,0,0,0,-,-,-,-
"Geothermal Thermoelectric Power self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,-,-,0,-,-,-,-
"Geothermal Thermoelectric Power self-supplied surface-water withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Geothermal Thermoelectric Power total self-supplied withdrawals, surface water, in Mgal/d",16s,-,-,0,-,-,-,-
"Geothermal Thermoelectric Power total self-supplied withdrawals, fresh, in Mgal/d",16s,-,-,0,-,-,-,-
"Geothermal Thermoelectric Power total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Geothermal Thermoelectric Power total self-supplied withdrawals, in Mgal/d",16s,-,-,0,-,-,-,-
"Geothermal Thermoelectric Power deliveries from public supply, in Mgal/d",16s,0,0,0,-,-,-,-
"Geothermal Thermoelectric Power total self-supplied withdrawals plus deliveries, in Mgal/d",16s,-,-,0,-,-,-,-
"Geothermal Thermoelectric Power consumptive use, fresh, in Mgal/d",16s,0,0,0,-,-,-,-
"Geothermal Thermoelectric Power consumptive use, saline, in Mgal/d",16s,0,0,0,-,-,-,-
"Geothermal Thermoelectric Power total consumptive use, in Mgal/d",16s,0,0,0,-,-,-,-
"Geothermal Thermoelectric Power power generation, in gigawatt-hours",16s,0,0,0,-,-,-,-
"Geothermal Thermoelectric Power reclaimed wastewater, in Mgal/d",16s,-,-,0,-,-,-,-
Geothermal Thermoelectric Power number of facilities,16s,-,0,0,-,-,-,-
"Nuclear Thermoelectric Power self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Nuclear Thermoelectric Power total self-supplied withdrawals, groundwater, in Mgal/d",16s,-,-,0,-,-,-,-
"Nuclear Thermoelectric Power self-supplied surface-water withdrawals, fresh, in Mgal/d",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power self-supplied surface-water withdrawals, saline, in Mgal/d",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power total self-supplied withdrawals, surface water, in Mgal/d",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power total self-supplied withdrawals, fresh, in Mgal/d",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power total self-supplied withdrawals, saline, in Mgal/d",16s,-,-,0,-,-,-,-
"Nuclear Thermoelectric Power total self-supplied withdrawals, in Mgal/d",16s,-,-,0,-,-,-,-
"Nuclear Thermoelectric Power deliveries from public supply, in Mgal/d",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power total self-supplied withdrawals plus deliveries, in Mgal/d",16s,-,-,0,-,-,-,-
"Nuclear Thermoelectric Power consumptive use, fresh, in Mgal/d",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power consumptive use, saline, in Mgal/d",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power total consumptive use, in Mgal/d",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power power generation, in gigawatt-hours",16s,0,0,0,-,-,-,-
"Nuclear Thermoelectric Power reclaimed wastewater, in Mgal/d",16s,-,-,0,-,-,-,-
Nuclear Thermoelectric Power number of facilities,16s,-,0,0,-,-,-,-
"Thermoelectric Power (Once-through cooling) self-supplied groundwater withdrawals, fresh, in Mgal/d",16s,-,-,-,0,0,0,0
"Thermoelectric Power (Once-through cooling) self-supplied groundwater withdrawals, saline, in Mgal/d",16s,-,-,-,0,0,0,0
